impoundment_code,impd,long,lat,ac,huc8
LXMB,Lenexa-Mize Boulevard Lake,-94.876487,38.953953,5.22,10270104
LXRL,Lenexa-Resurrection Lake,-94.730596,38.97591,2,10270104
LXRC,Lenexa-Resurrection Pond,-94.730596,38.97591,2,10270104
LXCL,Lenexa-Rose's Pond,-94.75906,38.96916,2,10270104
LOCL,Lenora City Lake,-99.96773613,39.60168208,38,10260011
LICL,Liberal-Arkalon Recreation Area,-100.77916,37.12553,5,11040006
LILC,Liberal-Arkalon Recreation Area,-100.77916,37.12553,0,11040006
WRPL,Liberal-Windridge Point Lake,-100.929745,37.06774,0,11040006
LNSP,Linn County Strip Pit,-94.684587,38.081212,,10290103
LGCL,Logan City Lake,-99.58039703,39.62706745,25,10260011
LGSL,Logan State Fishing Lake,-101.2383932,38.93542101,75,10260003
LBCL,Louisburg City Lake,-94.67252617,38.60862335,23,10290102
LBCA,Louisburg-Lewis Young Park Lake,-94.704999,38.647393,2,10290102
LOVR,Lovewell Reservoir,-98.06501701,39.89788897,2986,10250016
LYSL,Lyon State Fishing Lake,-96.06338893,38.54381301,135,10290101
MACL,Madison City Lake,-96.15194959,38.10546262,114,11070101
VPAD,Manh Distr. FISH Map 11 Prop 3 12 18,,,1,
VPAC,Manh Distr. FISH Map5 Prop 42 Map11 2 4,,,1,
MNPP,Manhattan-Jerry Dishman Lake,-96.62984,39.18355,5,10270101
MDCS,Marais des Cygnes River,-94.686218,38.248812,,10290102
MDCW,Marais Des Cygnes WA,-94.657,38.2568,1967,10290102
MDCA,Marais Des Cygnes-Pool A,-94.698,38.24354,0,10290102
MCDE,Marais des Cygnes-Pool E,-94.74272,38.24985,0,10290102
MDCE,Marais Des Cygnes-Pool E,-94.74272,38.24985,0,10290102
MCDG,Marais des Cygnes-Pool G,-94.74143,38.28637,0,10290102
MDCG,Marais Des Cygnes-Pool G,-94.74143,38.28637,0,10290102
MNCL,Marion County Lake,-96.98521148,38.32073634,153,11070202
MNRP,Marion County RP,-96.992736,38.314482,1,11070202
MARR,Marion Reservoir,-97.12282331,38.40091497,6160,11070202
MRSB,Marion Stilling Basin,-97.08439,38.368695,1,11070202
VPAG,Marm R. FISH Map 24 Sites 70 80 90 100,,,1,
MYCL,Marysville Country Club Lake,-96.62952,39.84316,10,10270205
MAXP,Maxwell South Pond,-97.44992,38.47338,0,10260008
MPLP,McPherson Lakeside Park,-97.650999,38.373327,23,11030012
MPSL,McPherson State Fishing Lake,-97.46972636,38.47879764,46,10260008
MEFR,Meade Hatchery,-100.450284,37.172317,,11040007
MESL,Meade State Fishing Lake,-100.4344719,37.16661648,80,11040007
MEBP,Melvern Bass Production Pond,-95.699528,38.512936,,10290101
MELR,Melvern Reservoir,-95.79221026,38.49802663,7000,10290101
MESB,Melvern Reservoir Stilling Basin,-95.706896,38.511424,1,10290101
MEWP,Melvern Reservoir WA Ponds,-95.91745,38.51119,20,10290101
MEPD,Melvern River Pond,-95.703784,38.517036,0,10290101
MERP,Melvern River Pond,-95.7026741,38.51779362,100,10290101
MESP,Melvern RP,-95.69999,38.51292,30,10290101
MISL,Miami State Fishing Lake,-94.79143443,38.42100499,118,10290102
MICH,Michigan,-84.84235,43.26184,,
MCLA,Middle Creek State Fishing Lake,-94.67622463,38.50659925,280,10290102
MILH,Milford Fish Hatchery,-96.887898,39.085861,,10250017
MILL,Milford Hatchery-Water Supply Lake,-96.88546,39.08182,100,10250017
MILR,Milford Reservoir,-96.93904877,39.15430206,16020,10250017
MILP,Milford State Park Pond,-96.900073,39.099875,2,10250017
MISB,Milford Stilling Basin,-96.895811,39.076036,1,10250017
MIWP,Milford Wildlife Area Ponds,-97.05722,39.30091,5,10250017
M01A,Mined Land Pit 01A,-94.69615042,37.48004629,2.17,11070207
M01B,Mined Land Pit 01B,-94.69615042,37.48004629,8.6,11070207
M01C,Mined Land Pit 01C,-94.69835393,37.47438278,2.85,11070207
M01D,Mined Land Pit 01D,-94.69397147,37.47677923,9.65,11070207
M01E,Mined Land Pit 01E,-94.69170424,37.47651042,1.29,11070207
M01F,Mined Land Pit 01F,-94.69146618,37.47529027,1,11070207
M01G,Mined Land Pit 01G,-94.69146618,37.47529027,1.1,11070207
M01H,Mined Land Pit 01H,-94.69442537,37.47141936,1.78,11070207
M01I,Mined Land Pit 01I,-94.70303032,37.47408922,4.73,11070207
M01J,Mined Land Pit 01J,-94.69835393,37.47438278,4.87,11070207
M01K,Mined Land Pit 01K,-94.69835393,37.47438278,1.9,11070207
M01L,Mined Land Pit 01L,-94.69442537,37.47141936,2.79,11070207
M01M,Mined Land Pit 01M,-94.69835393,37.47438278,0.95,11070207
M01N,Mined Land Pit 01N,-94.69442537,37.47141936,10.6,11070207
M02A,Mined Land Pit 02A,-94.639378,37.440928,2,11070207
M03A,Mined Land Pit 03A,-94.62467092,37.4410978,2.12,11070207
M04A,Mined Land Pit 04A,-94.62249968,37.43809257,12.1,11070207
M04B,Mined Land Pit 04B,-94.62547663,37.43415358,6.1,11070207
M04C,Mined Land Pit 04C,-94.62939067,37.43603172,2.31,11070207
M04D,Mined Land Pit 04D,-94.62833001,37.43401182,2.1,11070207
M04E,Mined Land Pit 04E,-94.62547663,37.43415358,3.14,11070207
M04F,Mined Land Pit 04F,-94.621006,37.432841,2.91,11070207
M05A,Mined Land Pit 05A,-94.76137481,37.42360113,4,11070207
M05B,Mined Land Pit 05B,-94.76139567,37.42202832,6.65,11070207
M05C,Mined Land Pit 05C,-94.76842818,37.41287263,5.8,11070207
M06A,Mined Land Pit 06A,-94.75724307,37.42418144,3.67,11070207
M06B,Mined Land Pit 06B,-94.75186732,37.42448738,2.11,11070207
M06C,Mined Land Pit 06C,-94.75186732,37.42448738,6.59,11070207
M06D,Mined Land Pit 06D,-94.75441916,37.42079284,8.6,11070207
M06E,Mined Land Pit 06E,-94.75287333,37.41876705,4.24,11070207
M06F,Mined Land Pit 06F,-94.75146523,37.41638986,4,11070207
M06G,Mined Land Pit 06G,-94.75146523,37.41638986,6.35,11070207
M06H,Mined Land Pit 06H,-94.75908026,37.41646305,4,11070207
M06I,Mined Land Pit 06I,-94.753974,37.41757,4,11070207
M07A,Mined Land Pit 07A,-94.780199,37.394809,29,11070207
M07B,Mined Land Pit 07B,-94.78506,37.38788,0.45,11070207
M07C,Mined Land Pit 07C,-94.78359203,37.3873419,2.75,11070207
M08A,Mined Land Pit 08A,-94.77513235,37.39102408,2.75,11070207
M08B,Mined Land Pit 08B,-94.77139898,37.38867312,5.86,11070207
M08C,Mined Land Pit 08C,-94.77139898,37.38867312,23,11070207
M08D,Mined Land Pit 08D,-94.76505163,37.38876408,1.8,11070207
M08E,Mined Land Pit 08E,-94.777627,37.385538,6,11070207
M09A,Mined Land Pit 09A,-94.776422,37.287515,3.36,11070207
M09B,Mined Land Pit 09B,-94.77129161,37.28665169,6.89,11070207
M09C,Mined Land Pit 09C,-94.77759,37.285369,2,11070207
M10A,Mined Land Pit 10A,-94.8136673,37.26825462,1.42,11070207
M10B,Mined Land Pit 10B,-94.80795732,37.26859367,2.79,11070207
M10C,Mined Land Pit 10C,-94.80795732,37.26859367,1.52,11070207
M10D,Mined Land Pit 10D,-94.80795732,37.26859367,6.44,11070207
M10E,Mined Land Pit 10E,-94.80732098,37.26701356,0.33,11070207
M10F,Mined Land Pit 10F,-94.80732098,37.26701356,0.35,11070207
M10G,Mined Land Pit 10G,-94.80732098,37.26701356,1.85,11070207
M11A,Mined Land Pit 11A,-94.83965984,37.26540061,7.89,11070205
M11B,Mined Land Pit 11B,-94.83681695,37.26048112,3.7,11070205
M11C,Mined Land Pit 11C,-94.83681695,37.26048112,1.16,11070205
M12A,Mined Land Pit 12A,-94.82360358,37.25513064,8.24,11070207
M12B,Mined Land Pit 12B,-94.81812985,37.2548706,11.6,11070207
M12C,Mined Land Pit 12C,-94.82360358,37.25513064,1.29,11070207
M12D,Mined Land Pit 12D,-94.82113865,37.25462695,0.55,11070207
M12E,Mined Land Pit 12E,-94.81941721,37.25323036,1.41,11070207
M12F,Mined Land Pit 12F,-94.81941721,37.25323036,8.16,11070207
M13A,Mined Land Pit 13A,-94.81153082,37.26587821,2.09,11070207
M13B,Mined Land Pit 13B,-94.80905967,37.26500149,2.41,11070207
M13C,Mined Land Pit 13C,-94.80905967,37.26500149,1.18,11070207
M13D,Mined Land Pit 13D,-94.80905967,37.26500149,0.67,11070207
M13E,Mined Land Pit 13E,-94.80736126,37.26432207,0.76,11070207
M13F,Mined Land Pit 13F,-94.80952581,37.26298365,6.52,11070207
M13G,Mined Land Pit 13G,-94.8047711,37.25897783,3.86,11070207
M13H,Mined Land Pit 13H,-94.8032247,37.25446976,3.57,11070207
M14A,Mined Land Pit 14A,-94.82243076,37.24787874,10.3,11070207
M14B,Mined Land Pit 14B,-94.82639,37.2465,4.41,11070207
M14C,Mined Land Pit 14C,-94.81979257,37.24716342,4,11070207
M14D,Mined Land Pit 14D,-94.82069562,37.24023831,2.46,11070207
M14E,Mined Land Pit 14E,-94.8214448,37.24320213,0.79,11070207
M14F,Mined Land Pit 14F,-94.82069562,37.24023831,2.14,11070207
M14G,Mined Land Pit 14G,-94.819749,37.24140277,1,11070207
M14H,Mined Land Pit 14H,-94.81629003,37.24193355,0.63,11070207
M15A,Mined Land Pit 15A,-94.80901285,37.24688918,8.98,11070207
M15B,Mined Land Pit 15B,-94.80901285,37.24688918,8.81,11070207
M15C,Mined Land Pit 15C,-94.81085109,37.24675272,0.44,11070207
M15D,Mined Land Pit 15D,-94.81085109,37.24675272,1.39,11070207
M15E,Mined Land Pit 15E,-94.80901285,37.24688918,2.42,11070207
M17A,Mined Land Pit 17A,-94.90215926,37.29280234,23.7,11070205
M17B,Mined Land Pit 17B,-94.89145248,37.29424043,4.73,11070205
M17C,Mined Land Pit 17C,-94.89608209,37.29127259,2.83,11070205
M17D,Mined Land Pit 17D,-94.899456,37.282298,2.66,11070205
M17E,Mined Land Pit 17E,-94.89446008,37.28413539,19.1,11070205
M18A,Mined Land Pit 18A,-94.91841958,37.26414164,17.1,11070205
M18B,Mined Land Pit 18B,-94.91974815,37.27890877,2.88,11070205
M18C,Mined Land Pit 18C,-94.91454845,37.27258764,4.47,11070205
M18D,Mined Land Pit 18D,-94.91454845,37.27258764,7.9,11070205
M19A,Mined Land Pit 19A,-94.893268,37.278579,14.8,11070205
M20A,Mined Land Pit 20A,-94.98227011,37.24652501,24.2,11070205
M20B,Mined Land Pit 20B,-94.98227011,37.24652501,18.7,11070205
M20C,Mined Land Pit 20C,-94.98364032,37.23188786,16.3,11070205
M21A,Mined Land Pit 21A,-94.97233628,37.25303453,2.65,11070205
M21B,Mined Land Pit 21B,-94.97274374,37.24719221,17.7,11070205
M21C,Mined Land Pit 21C,-94.97274374,37.24719221,19.7,11070205
M21D,Mined Land Pit 21D,-94.975301,37.238198,0.84,11070205
M21E,Mined Land Pit 21E,-94.97300666,37.2395632,1.37,11070205
M21F,Mined Land Pit 21F,-94.96333678,37.24595831,20.34,11070205
M21G,Mined Land Pit 21G,-94.96398729,37.24094204,1.89,11070205
M21H,Mined Land Pit 21H,-94.96263745,37.2397776,1.46,11070205
M21I,Mined Land Pit 21I,-94.96263745,37.2397776,1.56,11070205
M21J,Mined Land Pit 21J,-94.96018306,37.23849927,2.47,11070205
M22A,Mined Land Pit 22A,-94.98364032,37.23188786,32.5,11070205
M22B,Mined Land Pit 22B,-94.98622182,37.21600724,27.2,11070205
M22C,Mined Land Pit 22C,-94.98735557,37.22900946,7.7,11070205
M22D,Mined Land Pit 22D,-94.98443756,37.22632871,10,11070205
M23A,Mined Land Pit 23A,-94.97721629,37.23308052,45.5,11070205
M23B,Mined Land Pit 23B,-94.97721629,37.23308052,17.49,11070205
M24A,Mined Land Pit 24A,-95.00919348,37.21663764,11.6,11070205
M24B,Mined Land Pit 24B,-95.00722821,37.21963655,10.9,11070205
M24C,Mined Land Pit 24C,-95.00813654,37.21021656,20.2,11070205
M24D,Mined Land Pit 24D,-95.00813654,37.21021656,19,11070205
M24E,Mined Land Pit 24E,-95.00327248,37.21136808,3.29,11070205
M24F,Mined Land Pit 24F,-95.00348138,37.20927923,2.2,11070205
M25A,Mined Land Pit 25A,-95.06460209,37.19612357,43.8,11070205
M25B,Mined Land Pit 25B,-95.05417418,37.20265441,1.84,11070205
M25C,Mined Land Pit 25C,-95.05121766,37.20343713,6.36,11070205
M25D,Mined Land Pit 25D,-95.05398946,37.20044681,14.3,11070205
M26A,Mined Land Pit 26A,-94.80270311,37.33194624,10.9,11070205
M27A,Mined Land Pit 27A,-95.04133829,37.20752543,3.17,11070205
M27B,Mined Land Pit 27B,-95.04584717,37.20182999,16,11070205
M27C,Mined Land Pit 27C,-95.04584717,37.20182999,44.4,11070205
M28A,Mined Land Pit 28A,-95.02511136,37.20669605,3.92,11070205
M28B,Mined Land Pit 28B,-95.021598,37.203296,2.31,11070205
M28C,Mined Land Pit 28C,-95.021135,37.202075,1.45,11070205
M29A,Mined Land Pit 29A,-94.999796,37.207892,18.5,11070205
M29B,Mined Land Pit 29B,-95.00994158,37.20334634,7.37,11070205
M30A,Mined Land Pit 30A,-95.02621765,37.21963922,27,11070205
M30B,Mined Land Pit 30B,-95.02621765,37.21963922,1.95,11070205
M30C,Mined Land Pit 30C,-95.01629091,37.21867517,6.56,11070205
M30D,Mined Land Pit 30D,-95.01629091,37.21867517,2.8,11070205
M30E,Mined Land Pit 30E,-95.01758018,37.21334487,6.73,11070205
M30F,Mined Land Pit 30F,-95.02256195,37.21246188,17.6,11070205
M30G,Mined Land Pit 30G,-95.02256195,37.21246188,9.64,11070205
M30H,Mined Land Pit 30H,-95.029562,37.20953,8.13,11070205
M31A,Mined Land Pit 31A,-94.98325617,37.22090902,70,11070205
M31B,Mined Land Pit 31B,-94.98325617,37.22090902,7.25,11070205
M32A,Mined Land Pit 32A,-94.97264586,37.21880576,18.6,11070205
M32B,Mined Land Pit 32B,-94.98011011,37.2110171,26.9,11070205
M32C,Mined Land Pit 32C,-94.97130309,37.21386916,6.97,11070205
M32D,Mined Land Pit 32D,-94.97130309,37.21386916,3.69,11070205
M32E,Mined Land Pit 32E,-94.97599037,37.2103147,3.53,11070205
M33A,Mined Land Pit 33A,-95.0387465,37.23806524,33,11070205
M33B,Mined Land Pit 33B,-95.03813483,37.22306691,61.4,11070205
M34A,Mined Land Pit 34A,-95.02599986,37.22547317,36,11070205
M35A,Mined Land Pit 35A,-95.00254638,37.22861679,2.39,11070205
M35B,Mined Land Pit 35B,-95.00439181,37.22557162,0.77,11070205
M35C,Mined Land Pit 35C,-95.00439181,37.22557162,1.79,11070205
M35D,Mined Land Pit 35D,-94.99818356,37.2239322,16.3,11070205
M36A,Mined Land Pit 36A,-95.0387465,37.23806524,7.98,11070205
M36B,Mined Land Pit 36B,-95.0387465,37.23806524,13.8,11070205
M37A,Mined Land Pit 37A,-94.9487372,37.25055426,5.27,11070205
M37B,Mined Land Pit 37B,-94.93994872,37.2489418,6.86,11070205
M38A,Mined Land Pit 38A,-94.93994872,37.2489418,7.61,11070205
M38B,Mined Land Pit 38B,-94.93533386,37.24694661,4.66,11070205
M38C,Mined Land Pit 38C,-94.92590001,37.25142459,8.31,11070205
M38D,Mined Land Pit 38D,-94.92590001,37.25142459,3.39,11070205
M38E,Mined Land Pit 38E,-94.92590001,37.25142459,1.69,11070205
M38F,Mined Land Pit 38F,-94.93976657,37.24626208,6,11070205
M38G,Mined Land Pit 38G,-94.93533386,37.24694661,10,11070205
M38H,Mined Land Pit 38H,-94.92920293,37.24827864,8.44,11070205
M39A,Mined Land Pit 39A,-94.98195415,37.25532176,16.8,11070205
M40A,Mined Land Pit 40A,-94.97476354,37.2622302,15.5,11070205
M40B,Mined Land Pit 40B,-94.97250259,37.26001935,7.95,11070205
M40C,Mined Land Pit 40C,-94.97250259,37.26001935,1.31,11070205
M40D,Mined Land Pit 40D,-94.97250259,37.26001935,0.88,11070205
M40E,Mined Land Pit 40E,-94.97233628,37.25303453,5.31,11070205
M40F,Mined Land Pit 40F,-94.96723533,37.2544919,20.4,11070205
M41A,Mined Land Pit 41A,-94.93980088,37.26467765,49.2,11070205
M41B,Mined Land Pit 41B,-94.94860592,37.25361099,5.88,11070205
M41C,Mined Land Pit 41C,-94.94194607,37.25687734,23.9,11070205
M42A,Mined Land Pit 42A,-94.93980088,37.26467765,5.72,11070205
M42B,Mined Land Pit 42B,-94.93491392,37.25624044,6.3,11070205
M42C,Mined Land Pit 42C,-94.93138072,37.26322021,6.89,11070205
M42D,Mined Land Pit 42D,-94.92885232,37.27037417,8.37,11070205
M42E,Mined Land Pit 42E,-94.92518623,37.25918067,8.56,11070205
M42F,Mined Land Pit 42F,-94.93491392,37.25624044,31,11070205
M43A,Mined Land Pit 43A,-94.91841958,37.26414164,12.9,11070205
M43B,Mined Land Pit 43B,-94.9153925,37.26236313,7.32,11070205
M44A,Mined Land Pit 44A,-94.92885232,37.27037417,78,11070205
M45A,Mined Land Pit 45A,-94.91341773,37.28629393,19.9,11070205
M45B,Mined Land Pit 45B,-94.91341773,37.28629393,39.6,11070205
M45C,Mined Land Pit 45C,-94.9114699,37.28619419,19.1,11070205
MLWA,Mined Land WA-CK/CR Co,-94.96968,37.23881,750,11070205
MINN,Minnesota,-93.65394,46.23402,,
MO,Missouri,-92.33459,38.95193,,
MORV,Missouri River,-95.11382,39.55741,0,10240011
SMSU,Missouri State University,-93.280717,37.200078,,
SSSS,Missouri-Stockton Reservoir,-93.764919,37.68231,0,
MOCL,Moline New City Lake-North,-96.31688673,37.38980234,185,11070104
MOCA,Moline Old City Lake-South,-96.34241997,37.35080518,65,11070104
MONT,Montana,-108.50097,45.78284,,
MGSL,Montgomery State Fishing Lake,-95.69319875,37.16359748,105,11070103
MCCL,Mound City Lake,-94.89159666,38.12220243,148,10290102
MCRP,Mound City RP,-94.891323,38.129388,1,10290102
MRCL,Moundridge City Lake,-97.52664,38.21318,4,11030012
MPPP,Moundridge-Pack Park Pond,-97.526638,38.213184,2,11030012
MHCL,Mount Hope-Oak Street Pond,-97.666692,37.873975,2,11030010
MUCL,Mulberry City Lake,-94.61766,37.56458,2.5,10290104
MVSC,Mulvane-Cedar Brook Pond,-97.227022,37.486128,25,11030013
NBOL,Nebo State Fishing Lake,-95.59868359,39.44726217,38,10270103
NEBR,Nebraska,-99.59742,41.74849,,
NMSL,Nemaha State Fishing Lake,-96.03398,39.77325,0,10240007
NMWP,Nemaha Wildlife Area Pond,-96.02859,39.76753,10,10240007
NMPW,Nemeha Wildlife Area Pond,-96.028856,39.768232,10,10240007
NECL,Neodesha City Lake,-95.6922,37.416798,2.2,11070102
NORP,Neosho Kids Pond,-95.19667,37.42034,1,11070205
NOSL,Neosho State Fishing Lake,-95.20033671,37.42432618,92,11070205
NOWA,Neosho WA,-95.13255,37.49025,800,11070205
NOWP,Neosho Wildlife Area Pond,-95.14498,37.51356,6,11070205
NWMX,New Mexico,-107.253351,33.132121,,
NSCL,New Strawn City Lake,-95.74382,38.26053,3,11070204
NWSC,Newton-Sand Creek,-97.35489,38.0446,20,11030012
NWCC,Newton-Springlake Lower,-97.346274,38.01674,3,11030012
NWCB,Newton-Springlake Middle,-97.347422,38.016139,3,11030012
NWCA,Newton-Springlake Upper,-97.351081,38.016241,1,11030012
NNSP,North Newton-Sunfield Pond,-97.354509,38.074609,1,11030012
ODCL,Ogden City Lake,-96.70863,39.10046,24,10270101
OKLA,Oklahoma,-97.05804,35.60019,,
OEHS,Olathe East High School Pond,-94.75481,38.89778,1,10300101
OLCI,Olathe-Black Bob Park Pond,-94.752295,38.855663,1,10300101
OLCB,Olathe-Cedar Lake,-94.84189615,38.84482364,56,10270104
OLCC,Olathe-Frisco Lake,-94.80489,38.87006,12,10300101
OLCG,Olathe-Heatherstone Park Pond,-94.744646,38.904054,1,10300101
OLCE,Olathe-Mahaffie Farm,-94.803662,38.893084,1,10270104
OLCH,Olathe-North Water Works Park Pond,-94.810559,38.87522,5,10300101
OLOT,Olathe-Oregon Trail Park Pond,-94.845481,38.865814,1,10270104
OTRP,Olathe-Oregon Trail Park Pond,-94.845481,38.865814,2,10270104
OLPC,Olathe-Prairie Center Park Pond,-94.84853,38.89287,1,10270104
OLCK,Olathe-Prairie Center Pond,-94.89627,38.8796,5,10270104
PRAP,Olathe-Prairie Center Pond,-94.89627,38.8796,1,10270104
OLSP,Olathe-Settler's Park Pond,-94.814068,38.915101,2,10270104
OLCJ,Olathe-Stagecoach Park Pond,-94.798563,38.888911,4,10300101
OLCD,Olathe-Waterworks Lake,-94.81038,38.87241,6,10300101
ELLL,Old Lake El Dorado,-96.76159,37.87575,0,11030017
OPCB,Olpe City Lake,-96.18495977,38.24840483,90,11070201
OPCA,Olpe -Jones Park Pond,-96.16758,38.26416,1,11070201
OSCL,Osage City Lake,-95.83455231,38.61529538,50,10290101
OSKP,Osage City Lake Kids Pond,-95.81604,38.63502,,10290101
OSSL,Osage State Fishing Lake,-95.67458,38.76228,140,10290101
OWCL,Osawatomie City Lake,-94.99272511,38.5283091,21,10290101
OWCA,Osawatomie-Beaver Lake,-94.99945,38.52899,6,10290101
OBCP,Osborne City Pond,-98.716287,39.436784,0.75,10260014
ZOUT,Other Out-of-State,,,,
OTSL,Ottawa State Fishing Lake,-97.56930323,39.10993819,138,10260015
OVBK,Overbrook City Lake,-95.54896,38.7809,8,10290101
OVCL,Overbrook City Lake,-95.549023,38.78047,3,10290101
OVKP,Overbrook Kids Pond,-95.54898,38.77795,1,10290101
OPCM,Overland Park-Amesbury Lake,-94.73173,38.87167,3.65,10300101
OPCK,Overland Park-Kingston Lake,-94.6782,38.8497,8,10300101
OPCR,Overland Park-Regency Pk Lake,-94.66081,38.85989,3,10300101
OPCL,Overland Park-South Lake,-94.67365,38.97177,5,10300101
OPCS,Overland Park-Summercrest Lake,-94.671379,38.925697,1.35,10300101
OPCW,Overland Park-Wilderness Lake,-94.640837,38.837306,3,10300101
PORP,Paola City Lake RP,-94.843639,38.580987,1,10290102
POCL,Paola City Lake-Lake Miola,-94.84394267,38.59023907,200,10290102
POCP,Paola City Lake-Pond,-94.85167,38.58912,1,10290102
POMP,Paola-Lakemary Pond,-94.86244,38.5698,2,10290102
PRCA,Park City-Chisholm Pointe Lake,-97.307256,37.801651,3,11030013
PKCL,Parker City Lake,-94.99913,38.31814,7,10290102
PACA,Parsons City Lake,-95.34258296,37.41047299,980,11070205
PATC,Parsons-Tolen Creek Pond,-95.254322,37.363412,7,11070205
PACB,Parsons-West Pond,-95.28612,37.34619,1,11070205
PERR,Perry Reservoir,-95.45077182,39.17371521,12600,10270103
PESB,Perry Stilling Basin,-95.424547,39.11233,1,10270103
HURD,Perry WA-Hurst Pond,-95.45011,39.30848,0,10270103
JCKP,Perry WA-Jackson Pond,-95.488,39.35022,0,10270103
PERP,Perry Wildlife Area Ponds,-95.4909,39.38768,1,10270103
PSUR,Pittsburg State Univ-Research,-94.69831,37.39023,,11070207
PTCA,Pittsburg-Lakeside Park Lake,-94.71356,37.4027,4,11070207
PTCD,Pittsburg-Lakeside Park Lake,-94.71356,37.4027,1,11070207
PTCC,Pittsburg-Lincoln Park Ponds,-94.71628,37.41894,5,11070207
PTCB,Pittsburg-University Pond,-94.69852,37.39023,3,11070207
PTCE,Pittsburg-Wilderness Park,-94.71066,37.44965,3,11070207
PVPS,Plainville Lake,-99.33078,39.22908,0,10260009
PVSP,Plainville Lake,-99.32306422,39.22754577,144,10260009
PLCA,Pleasanton East Lake,-94.69311782,38.19351996,127,10290102
PLCB,Pleasanton West Lake,-94.72921639,38.17410315,32,10290102
PLCC,Pleasanton West Lake,-94.72447565,38.17322138,32,10290102
POMR,Pomona Reservoir,-95.59843608,38.67035183,4000,10290101
POMS,Pomona Stilling Basin,-95.562274,38.645756,1,10290101
POUP,Pomona-Ottawa U. Pond,-95.26334,38.60338,2,10290101
PTCL,Pottawatomie Co Lake,-96.09066916,39.41047811,49,10270102
PTCM,Pottawatomie County Lake,-96.09577,39.40864,0,10270102
PTSA,Pottawatomie State Fishing Lake #1,-96.40931158,39.47001878,24,10270102
PTSB,Pottawatomie State Fishing Lake #2,-96.52609353,39.23054422,75,10270205
PRBC,Pratt Backwater Channels,-98.69739,37.63427,4,11030015
NATS,Pratt Co-Natrona Creek,-98.6257,37.65695,,11030015
NINA,Pratt Co-S. Fork Ninnescah,-98.69324,37.63372,,11030015
NINS,Pratt Co-S. Fork Ninnescah,-98.69324,37.63372,,11030015
PRCL,Pratt County Lake,-98.6825948,37.63006658,51,11030015
PRFH,Pratt Fish Hatchery,-98.69481,37.63189,,11030015
PRCP,Pratt-Centennial Pond,-98.692844,37.633313,3,11030015
PRGR,Pratt-Green Pond,,,1,
PRKP,Pratt-Kid's Pond,-95.692796,37.632539,1,11070101
PRLL,Pratt-Lemon Park Lake,-98.730144,37.635595,3,11030015
PCCL,Prescott City Lake,-94.67842,38.06102,25,10290103
QNWR,Quivira NWR-Fishing Pond,-98.494091,38.074655,1,11030009
QBSA,Quivira Scout Lake,-96.18094,37.23335,475,11070106
COWA,Reno Co-Cow Creek,-97.57348,38.07419,,11030012
REPS,Republican River,-96.80212,39.06045,,10250017
COWB,Rice Co-Cow Creek,-98.12822,38.27868,,11030011
RICL,Richmond City Lake,-95.2235,38.39301,21,10290101
RSPP,Rock Springs 4-H Pond,-96.90126,38.86442,1,10260008
RFFA,Rocky Ford,-96.587154,39.238464,,10270205
ROSL,Rooks State Lake,-99.31849826,39.40035937,67,10260014
RHSP,Rose Hill-School Street Pond,-97.127238,37.553176,9,11030018
SBCL,Sabetha City Lake,-95.89947873,39.9074929,100,10240007
SBCA,Sabetha-Pony Creek Lake,-95.78064378,39.9432191,171,10240008
SACC,Salina-Founders Park,-97.60616,38.84147,1,10260010
SACB,Salina-Indian Rock Pond,-97.58874,38.83622,2,10260008
SACA,Salina-Lakewood Lake,-97.58795,38.84672,6,10260008
WASL,Saline Co-Lake Wassey,-97.591817,38.651237,13,10260008
SASL,Saline State Fishing Lake,-97.65515423,38.90228171,38,10260010
SHSP,Sandhills State Park Pond,-97.85514,38.114233,1,11030012
FISP,Sandsage Bison Range,-100.89173,37.95593,5,11030001
SBRW,Sandsage Bison Range,-100.89173,37.95593,5,11030001
SCSL,Scott State Fishing Lake,-100.92878,38.69007,115,10260004
SCSP,Scott State Park Pond,-100.92019,38.6678,2,10260004
SCCL,Scranton City Lake,-95.70179,38.76658,11,10290101
NORR,Sebelius Reservoir,-99.95372576,39.79705531,1500,10250015
NORA,Sebelius Reservoir Sand Pit,-99.98503,39.78898,0,10250015
NOSB,Sebelius Reservoir Stilling Basin,-99.92519,39.80082,2,10250015
SECA,Sedan New City Lake-South,-96.21045389,37.15339266,70,11070106
SECB,Sedan Old City Lake-North,-96.21709871,37.17324432,55,11070106
SGCD,Sedgwick Co-Camp Hyde,-97.63831,37.55659,2,11030016
SGCE,Sedgwick Co-Coliseum Clinic Pond,-97.31818,37.8385,1,11030013
SGCH,Sedgwick Co-Horseshoe Lake,-97.413707,37.721623,,11030013
SGCK,Sedgwick Co-Kid's Pond,-97.416693,37.722762,,11030013
SGCI,Sedgwick Co-Moss Lake,-97.415481,37.717474,,11030013
SGCF,Sedgwick Co-Slough Creek,-97.421282,37.720748,1,11030013
SGCJ,Sedgwick Co-Tom Scott Lake,-97.418324,37.714776,,11030013
SGCG,Sedgwick Co-Vic's Lake,-97.417929,37.721733,,11030013
WNDL,Sedgwick Co-Windmill Lake,-97.417929,37.721733,0,11030013
SGCB,Sedgwick Co-Zoo Park Lake,-97.41124,37.71157,80,11030013
SVCL,Severy City Lake,-96.17327087,37.62136937,10,11070102
SNCB,Shawnee Co-Shawnee Jr,-95.63581,38.99837,2,10270102
