"fish_sample_id","impoundment_code","sample_date","gear_description","location","units_of_effort","effort_description","species","length","length_category","weight","group_count"
"90917","CHNR","2021-11-03","GILL NET-CORE PANEL","Sample Grid #290","18.00000","Hours","Freshwater Drum","187","SS","62","1"
"90912","LCGL","2021-10-19","GILL NET-CORE PANEL","Sample Grid #134","22.00000","Hours","Freshwater Drum","225","S-Q","150","1"
"90911","LCGL","2021-10-19","GILL NET-CORE PANEL","Sample Grid #115","22.00000","Hours","Freshwater Drum","174","SS","55","1"
"90909","LCGL","2021-10-19","GILL NET-CORE PANEL","Sample Grid #104","22.50000","Hours","Freshwater Drum","260","S-Q","205","1"
"90909","LCGL","2021-10-19","GILL NET-CORE PANEL","Sample Grid #104","22.50000","Hours","Freshwater Drum","265","S-Q","225","1"
"90909","LCGL","2021-10-19","GILL NET-CORE PANEL","Sample Grid #104","22.50000","Hours","Freshwater Drum","260","S-Q","187","1"
"90901","HILR","2021-11-03","GILL NET-CORE PANEL","Sample Grid #193","20.00000","Hours","Freshwater Drum","191","SS","70","1"
"90901","HILR","2021-11-03","GILL NET-CORE PANEL","Sample Grid #193","20.00000","Hours","Freshwater Drum","243","S-Q","151","1"
"90901","HILR","2021-11-03","GILL NET-CORE PANEL","Sample Grid #193","20.00000","Hours","Freshwater Drum","251","S-Q","152","1"
"90897","HILR","2021-11-02","GILL NET-CORE PANEL","Sample Grid #41","20.00000","Hours","Freshwater Drum","260","S-Q","171","1"
"90897","HILR","2021-11-02","GILL NET-CORE PANEL","Sample Grid #41","20.00000","Hours","Freshwater Drum","272","S-Q","197","1"
"90896","HILR","2021-11-02","GILL NET-CORE PANEL","Sample Grid #32","20.00000","Hours","Freshwater Drum","281","S-Q","248","1"
"90895","HILR","2021-11-02","GILL NET-CORE PANEL","Sample Grid #39","20.00000","Hours","Freshwater Drum","243","S-Q","145","1"
"90895","HILR","2021-11-02","GILL NET-CORE PANEL","Sample Grid #39","20.00000","Hours","Freshwater Drum","192","SS","53","1"
"90895","HILR","2021-11-02","GILL NET-CORE PANEL","Sample Grid #39","20.00000","Hours","Freshwater Drum","204","S-Q","53","1"
"90895","HILR","2021-11-02","GILL NET-CORE PANEL","Sample Grid #39","20.00000","Hours","Freshwater Drum","187","SS","65","1"
"90894","HILR","2021-11-02","GILL NET-CORE PANEL","Sample Grid #48","20.00000","Hours","Freshwater Drum","207","S-Q","61","1"
"90893","HILR","2021-11-02","GILL NET-CORE PANEL","Sample Grid #64","20.00000","Hours","Freshwater Drum","196","SS","71","1"
"90893","HILR","2021-11-02","GILL NET-CORE PANEL","Sample Grid #64","20.00000","Hours","Freshwater Drum","239","S-Q","129","1"
"90889","LOVR","2021-10-22","GILL NET-CORE PANEL","Sample Grid #83","21.00000","Hours","Freshwater Drum","283","S-Q","233","1"
"90888","LOVR","2021-10-22","GILL NET-CORE PANEL","Sample Grid #85","21.00000","Hours","Freshwater Drum","315","Q-P","282","1"
"90886","LOVR","2021-10-22","GILL NET-CORE PANEL","Sample Grid #50","21.00000","Hours","Freshwater Drum","170","SS","","1"
"90886","LOVR","2021-10-22","GILL NET-CORE PANEL","Sample Grid #50","21.00000","Hours","Freshwater Drum","180","SS","","1"
"90886","LOVR","2021-10-22","GILL NET-CORE PANEL","Sample Grid #50","21.00000","Hours","Freshwater Drum","130","SS","","1"
"90886","LOVR","2021-10-22","GILL NET-CORE PANEL","Sample Grid #50","21.00000","Hours","Freshwater Drum","351","Q-P","468","1"
"90886","LOVR","2021-10-22","GILL NET-CORE PANEL","Sample Grid #50","21.00000","Hours","Freshwater Drum","180","SS","","1"
"90886","LOVR","2021-10-22","GILL NET-CORE PANEL","Sample Grid #50","21.00000","Hours","Freshwater Drum","390","P-M","525","1"
"90885","LOVR","2021-10-22","GILL NET-CORE PANEL","Sample Grid #39","21.00000","Hours","Freshwater Drum","317","Q-P","316","1"
"90885","LOVR","2021-10-22","GILL NET-CORE PANEL","Sample Grid #39","21.00000","Hours","Freshwater Drum","187","SS","75","1"
"90884","LOVR","2021-10-22","GILL NET-CORE PANEL","Sample Grid #84","21.00000","Hours","Freshwater Drum","150","SS","","1"
"90883","LOVR","2021-10-22","GILL NET-CORE PANEL","Sample Grid #57","21.00000","Hours","Freshwater Drum","180","SS","","1"
"90880","HILR","2021-10-27","GILL NET-CORE PANEL","Sample Grid #61","20.00000","Hours","Freshwater Drum","151","SS","32","1"
"90879","HILR","2021-10-27","GILL NET-CORE PANEL","Sample Grid #107","20.00000","Hours","Freshwater Drum","248","S-Q","140","1"
"90871","LOVR","2021-10-20","GILL NET-CORE PANEL","Sample Grid #119","19.00000","Hours","Freshwater Drum","130","SS","","1"
"90870","LOVR","2021-10-20","GILL NET-CORE PANEL","Sample Grid #118","19.00000","Hours","Freshwater Drum","341","Q-P","460","1"
"90870","LOVR","2021-10-20","GILL NET-CORE PANEL","Sample Grid #118","19.00000","Hours","Freshwater Drum","170","SS","","1"
"90870","LOVR","2021-10-20","GILL NET-CORE PANEL","Sample Grid #118","19.00000","Hours","Freshwater Drum","295","S-Q","264","1"
"90867","LOVR","2021-10-20","GILL NET-CORE PANEL","Sample Grid #123","19.00000","Hours","Freshwater Drum","130","SS","","1"
"90857","LOVR","2021-10-19","GILL NET-CORE PANEL","Sample Grid #79","20.00000","Hours","Freshwater Drum","332","Q-P","417","1"
"90857","LOVR","2021-10-19","GILL NET-CORE PANEL","Sample Grid #79","20.00000","Hours","Freshwater Drum","373","Q-P","534","1"
"90857","LOVR","2021-10-19","GILL NET-CORE PANEL","Sample Grid #79","20.00000","Hours","Freshwater Drum","255","S-Q","200","1"
"90857","LOVR","2021-10-19","GILL NET-CORE PANEL","Sample Grid #79","20.00000","Hours","Freshwater Drum","167","SS","58","1"
"90856","LOVR","2021-10-19","GILL NET-CORE PANEL","Sample Grid #104","20.00000","Hours","Freshwater Drum","463","P-M","1149","1"
"90856","LOVR","2021-10-19","GILL NET-CORE PANEL","Sample Grid #104","20.00000","Hours","Freshwater Drum","","","","1"
"90855","LOVR","2021-10-19","GILL NET-CORE PANEL","Sample Grid #157","20.00000","Hours","Freshwater Drum","205","S-Q","87","1"
"90853","LOVR","2021-10-19","GILL NET-CORE PANEL","Sample Grid #153","20.00000","Hours","Freshwater Drum","360","Q-P","566","1"
"90849","LCGL","2021-10-19","GILL NET-CORE PANEL","Sample Grid #105","21.00000","Hours","Freshwater Drum","265","S-Q","149","1"
"90819","NORR","2021-11-02","GILL NET-CORE PANEL","Sample Grid #70","20.00000","Hours","Freshwater Drum","396","P-M","666","1"
"90819","NORR","2021-11-02","GILL NET-CORE PANEL","Sample Grid #70","20.00000","Hours","Freshwater Drum","282","S-Q","252","1"
"90819","NORR","2021-11-02","GILL NET-CORE PANEL","Sample Grid #70","20.00000","Hours","Freshwater Drum","351","Q-P","448","1"
"90818","HILR","2021-10-26","GILL NET-CORE PANEL","Sample Grid #140","20.00000","Hours","Freshwater Drum","231","S-Q","119","1"
"90818","HILR","2021-10-26","GILL NET-CORE PANEL","Sample Grid #140","20.00000","Hours","Freshwater Drum","134","SS","18","1"
"90815","NORR","2021-11-02","GILL NET-CORE PANEL","Sample Grid #58","18.75000","Hours","Freshwater Drum","138","SS","24","1"
"90814","HILR","2021-10-26","GILL NET-CORE PANEL","Sample Grid #85","20.00000","Hours","Freshwater Drum","230","S-Q","114","1"
"90814","HILR","2021-10-26","GILL NET-CORE PANEL","Sample Grid #85","20.00000","Hours","Freshwater Drum","204","S-Q","68","1"
"90814","HILR","2021-10-26","GILL NET-CORE PANEL","Sample Grid #85","20.00000","Hours","Freshwater Drum","253","S-Q","156","1"
"90808","NORR","2021-11-01","GILL NET-CORE PANEL","Sample Grid #38","18.50000","Hours","Freshwater Drum","153","SS","35","1"
"90807","NORR","2021-11-01","GILL NET-CORE PANEL","Sample Grid #28","18.75000","Hours","Freshwater Drum","141","SS","24","1"
"90807","NORR","2021-11-01","GILL NET-CORE PANEL","Sample Grid #28","18.75000","Hours","Freshwater Drum","174","SS","51","1"
"90807","NORR","2021-11-01","GILL NET-CORE PANEL","Sample Grid #28","18.75000","Hours","Freshwater Drum","146","SS","29","1"
"90807","NORR","2021-11-01","GILL NET-CORE PANEL","Sample Grid #28","18.75000","Hours","Freshwater Drum","408","P-M","748","1"
"90807","NORR","2021-11-01","GILL NET-CORE PANEL","Sample Grid #28","18.75000","Hours","Freshwater Drum","385","P-M","670","1"
"90806","NORR","2021-11-01","GILL NET-CORE PANEL","Sample Grid #43","17.50000","Hours","Freshwater Drum","261","S-Q","183","1"
"90805","NORR","2021-11-01","GILL NET-CORE PANEL","Sample Grid #87","17.00000","Hours","Freshwater Drum","357","Q-P","490","1"
"90805","NORR","2021-11-01","GILL NET-CORE PANEL","Sample Grid #87","17.00000","Hours","Freshwater Drum","411","P-M","836","1"
"90805","NORR","2021-11-01","GILL NET-CORE PANEL","Sample Grid #87","17.00000","Hours","Freshwater Drum","371","Q-P","592","1"
"90805","NORR","2021-11-01","GILL NET-CORE PANEL","Sample Grid #87","17.00000","Hours","Freshwater Drum","331","Q-P","374","1"
"90805","NORR","2021-11-01","GILL NET-CORE PANEL","Sample Grid #87","17.00000","Hours","Freshwater Drum","405","P-M","706","1"
"90805","NORR","2021-11-01","GILL NET-CORE PANEL","Sample Grid #87","17.00000","Hours","Freshwater Drum","150","SS","38","1"
"90794","KIRR","2021-10-22","GILL NET-CORE PANEL","Sample Grid #128","19.75000","Hours","Freshwater Drum","242","S-Q","138","1"
"90793","KIRR","2021-10-22","GILL NET-CORE PANEL","Sample Grid #61","18.75000","Hours","Freshwater Drum","141","SS","26","1"
"90792","KIRR","2021-10-22","GILL NET-CORE PANEL","Sample Grid #64","18.25000","Hours","Freshwater Drum","145","SS","32","1"
"90792","KIRR","2021-10-22","GILL NET-CORE PANEL","Sample Grid #64","18.25000","Hours","Freshwater Drum","360","Q-P","510","1"
"90791","KIRR","2021-10-22","GILL NET-CORE PANEL","Sample Grid #137","17.25000","Hours","Freshwater Drum","270","S-Q","208","1"
"90791","KIRR","2021-10-22","GILL NET-CORE PANEL","Sample Grid #137","17.25000","Hours","Freshwater Drum","207","S-Q","86","1"
"90791","KIRR","2021-10-22","GILL NET-CORE PANEL","Sample Grid #137","17.25000","Hours","Freshwater Drum","348","Q-P","469","1"
"90789","KIRR","2021-10-22","GILL NET-CORE PANEL","Sample Grid #189","15.75000","Hours","Freshwater Drum","370","Q-P","574","1"
"90789","KIRR","2021-10-22","GILL NET-CORE PANEL","Sample Grid #189","15.75000","Hours","Freshwater Drum","370","Q-P","593","1"
"90789","KIRR","2021-10-22","GILL NET-CORE PANEL","Sample Grid #189","15.75000","Hours","Freshwater Drum","362","Q-P","522","1"
"90789","KIRR","2021-10-22","GILL NET-CORE PANEL","Sample Grid #189","15.75000","Hours","Freshwater Drum","373","Q-P","522","1"
"90789","KIRR","2021-10-22","GILL NET-CORE PANEL","Sample Grid #189","15.75000","Hours","Freshwater Drum","270","S-Q","200","1"
"90769","CLTR","2021-10-22","GILL NET-CORE PANEL","Sample Grid #81","20.00000","Hours","Freshwater Drum","139","SS","27","1"
"90768","CLTR","2021-10-22","GILL NET-CORE PANEL","Sample Grid #80","20.00000","Hours","Freshwater Drum","424","P-M","886","1"
"90767","CLTR","2021-10-22","GILL NET-CORE PANEL","Sample Grid #65","20.00000","Hours","Freshwater Drum","208","S-Q","99","1"
"90766","CLTR","2021-10-22","GILL NET-CORE PANEL","Sample Grid #66","20.00000","Hours","Freshwater Drum","337","Q-P","424","1"
"90764","CLTR","2021-10-22","GILL NET-CORE PANEL","Sample Grid #70","20.00000","Hours","Freshwater Drum","318","Q-P","374","1"
"90762","WFCA","2021-10-08","GILL NET-CORE PANEL","Sample Grid #53","18.00000","Hours","Freshwater Drum","341","Q-P","470","1"
"90761","WFCA","2021-10-08","GILL NET-CORE PANEL","Sample Grid #42","18.00000","Hours","Freshwater Drum","375","Q-P","577","1"
"90761","WFCA","2021-10-08","GILL NET-CORE PANEL","Sample Grid #42","18.00000","Hours","Freshwater Drum","144","SS","35","1"
"90760","WFCA","2021-10-08","GILL NET-CORE PANEL","Sample Grid #30","18.00000","Hours","Freshwater Drum","215","S-Q","96","1"
"90759","WFCA","2021-10-08","GILL NET-CORE PANEL","Sample Grid #5","18.00000","Hours","Freshwater Drum","325","Q-P","384","1"
"90759","WFCA","2021-10-08","GILL NET-CORE PANEL","Sample Grid #5","18.00000","Hours","Freshwater Drum","360","Q-P","482","1"
"90746","POMR","2021-10-27","GILL NET-CORE PANEL","Sample Grid #245","21.00000","Hours","Freshwater Drum","355","Q-P","495","1"
"90743","POMR","2021-10-27","GILL NET-CORE PANEL","Sample Grid #152","21.00000","Hours","Freshwater Drum","132","SS","19","1"
"90741","POMR","2021-10-27","GILL NET-CORE PANEL","Sample Grid #142","21.00000","Hours","Freshwater Drum","132","SS","20","1"
"90740","POMR","2021-10-27","GILL NET-CORE PANEL","Sample Grid #173","21.00000","Hours","Freshwater Drum","296","S-Q","324","1"
"90739","POMR","2021-10-27","GILL NET-CORE PANEL","Sample Grid #187","21.00000","Hours","Freshwater Drum","139","SS","26","1"
"90736","KIRR","2021-10-18","GILL NET-CORE PANEL","Sample Grid #184","20.00000","Hours","Freshwater Drum","384","P-M","659","1"
"90736","KIRR","2021-10-18","GILL NET-CORE PANEL","Sample Grid #184","20.00000","Hours","Freshwater Drum","386","P-M","636","1"
"90736","KIRR","2021-10-18","GILL NET-CORE PANEL","Sample Grid #184","20.00000","Hours","Freshwater Drum","376","Q-P","619","1"
"90736","KIRR","2021-10-18","GILL NET-CORE PANEL","Sample Grid #184","20.00000","Hours","Freshwater Drum","385","P-M","644","1"
"90734","KIRR","2021-10-18","GILL NET-CORE PANEL","Sample Grid #156","19.75000","Hours","Freshwater Drum","337","Q-P","449","1"
"90727","WFCA","2021-10-07","GILL NET-CORE PANEL","Sample Grid #63","18.00000","Hours","Freshwater Drum","234","S-Q","136","1"
"90727","WFCA","2021-10-07","GILL NET-CORE PANEL","Sample Grid #63","18.00000","Hours","Freshwater Drum","220","S-Q","125","1"
"90727","WFCA","2021-10-07","GILL NET-CORE PANEL","Sample Grid #63","18.00000","Hours","Freshwater Drum","210","S-Q","115","1"
"90724","WFCA","2021-10-07","GILL NET-CORE PANEL","Sample Grid #25","18.00000","Hours","Freshwater Drum","260","S-Q","182","1"
"90724","WFCA","2021-10-07","GILL NET-CORE PANEL","Sample Grid #25","18.00000","Hours","Freshwater Drum","231","S-Q","118","1"
"90724","WFCA","2021-10-07","GILL NET-CORE PANEL","Sample Grid #25","18.00000","Hours","Freshwater Drum","220","S-Q","105","1"
"90723","WFCA","2021-10-07","GILL NET-CORE PANEL","Sample Grid #13","18.00000","Hours","Freshwater Drum","314","Q-P","380","1"
"90723","WFCA","2021-10-07","GILL NET-CORE PANEL","Sample Grid #13","18.00000","Hours","Freshwater Drum","265","S-Q","178","1"
"90723","WFCA","2021-10-07","GILL NET-CORE PANEL","Sample Grid #13","18.00000","Hours","Freshwater Drum","286","S-Q","230","1"
"90723","WFCA","2021-10-07","GILL NET-CORE PANEL","Sample Grid #13","18.00000","Hours","Freshwater Drum","323","Q-P","434","1"
"90723","WFCA","2021-10-07","GILL NET-CORE PANEL","Sample Grid #13","18.00000","Hours","Freshwater Drum","294","S-Q","298","1"
"90723","WFCA","2021-10-07","GILL NET-CORE PANEL","Sample Grid #13","18.00000","Hours","Freshwater Drum","262","S-Q","185","1"
"90723","WFCA","2021-10-07","GILL NET-CORE PANEL","Sample Grid #13","18.00000","Hours","Freshwater Drum","230","S-Q","146","1"
"90722","WFCA","2021-10-07","GILL NET-CORE PANEL","Sample Grid #7","18.00000","Hours","Freshwater Drum","301","Q-P","340","1"
"90722","WFCA","2021-10-07","GILL NET-CORE PANEL","Sample Grid #7","18.00000","Hours","Freshwater Drum","265","S-Q","198","1"
"90722","WFCA","2021-10-07","GILL NET-CORE PANEL","Sample Grid #7","18.00000","Hours","Freshwater Drum","216","S-Q","96","1"
"90722","WFCA","2021-10-07","GILL NET-CORE PANEL","Sample Grid #7","18.00000","Hours","Freshwater Drum","198","SS","81","1"
"90722","WFCA","2021-10-07","GILL NET-CORE PANEL","Sample Grid #7","18.00000","Hours","Freshwater Drum","285","S-Q","235","1"
"90722","WFCA","2021-10-07","GILL NET-CORE PANEL","Sample Grid #7","18.00000","Hours","Freshwater Drum","315","Q-P","325","1"
"90722","WFCA","2021-10-07","GILL NET-CORE PANEL","Sample Grid #7","18.00000","Hours","Freshwater Drum","341","Q-P","422","1"
"90722","WFCA","2021-10-07","GILL NET-CORE PANEL","Sample Grid #7","18.00000","Hours","Freshwater Drum","311","Q-P","378","1"
"90722","WFCA","2021-10-07","GILL NET-CORE PANEL","Sample Grid #7","18.00000","Hours","Freshwater Drum","280","S-Q","255","1"
"90722","WFCA","2021-10-07","GILL NET-CORE PANEL","Sample Grid #7","18.00000","Hours","Freshwater Drum","340","Q-P","456","1"
"90722","WFCA","2021-10-07","GILL NET-CORE PANEL","Sample Grid #7","18.00000","Hours","Freshwater Drum","306","Q-P","330","1"
"90722","WFCA","2021-10-07","GILL NET-CORE PANEL","Sample Grid #7","18.00000","Hours","Freshwater Drum","200","S-Q","90","1"
"90722","WFCA","2021-10-07","GILL NET-CORE PANEL","Sample Grid #7","18.00000","Hours","Freshwater Drum","275","S-Q","238","1"
"90720","KIRR","2021-10-18","GILL NET-CORE PANEL","Sample Grid #168","16.50000","Hours","Freshwater Drum","384","P-M","672","1"
"90720","KIRR","2021-10-18","GILL NET-CORE PANEL","Sample Grid #168","16.50000","Hours","Freshwater Drum","395","P-M","741","1"
"90720","KIRR","2021-10-18","GILL NET-CORE PANEL","Sample Grid #168","16.50000","Hours","Freshwater Drum","354","Q-P","466","1"
"90651","PLCA","2021-10-07","GILL NET-CORE PANEL","Sample Grid #63","20.00000","Hours","Freshwater Drum","366","Q-P","504","1"
"90640","ELDR","2021-11-09","GILL NET-CORE PANEL","Sample Grid #435","19.00000","Hours","Freshwater Drum","365","Q-P","592","1"
"90640","ELDR","2021-11-09","GILL NET-CORE PANEL","Sample Grid #435","19.00000","Hours","Freshwater Drum","345","Q-P","462","1"
"90640","ELDR","2021-11-09","GILL NET-CORE PANEL","Sample Grid #435","19.00000","Hours","Freshwater Drum","344","Q-P","535","1"
"90640","ELDR","2021-11-09","GILL NET-CORE PANEL","Sample Grid #435","19.00000","Hours","Freshwater Drum","356","Q-P","531","1"
"90640","ELDR","2021-11-09","GILL NET-CORE PANEL","Sample Grid #435","19.00000","Hours","Freshwater Drum","315","Q-P","357","1"
"90640","ELDR","2021-11-09","GILL NET-CORE PANEL","Sample Grid #435","19.00000","Hours","Freshwater Drum","351","Q-P","435","1"
"90640","ELDR","2021-11-09","GILL NET-CORE PANEL","Sample Grid #435","19.00000","Hours","Freshwater Drum","288","S-Q","240","1"
"90638","ELDR","2021-11-04","GILL NET-CORE PANEL","Sample Grid #8","19.00000","Hours","Freshwater Drum","371","Q-P","543","1"
"90638","ELDR","2021-11-04","GILL NET-CORE PANEL","Sample Grid #8","19.00000","Hours","Freshwater Drum","201","S-Q","77","1"
"90634","ELDR","2021-11-03","GILL NET-CORE PANEL","Sample Grid #179","19.00000","Hours","Freshwater Drum","394","P-M","661","1"
"90633","ELDR","2021-11-03","GILL NET-CORE PANEL","Sample Grid #106","19.00000","Hours","Freshwater Drum","366","Q-P","607","1"
"90632","ELDR","2021-11-03","GILL NET-CORE PANEL","Sample Grid #87","19.00000","Hours","Freshwater Drum","375","Q-P","540","1"
"90632","ELDR","2021-11-03","GILL NET-CORE PANEL","Sample Grid #87","19.00000","Hours","Freshwater Drum","314","Q-P","337","1"
"90632","ELDR","2021-11-03","GILL NET-CORE PANEL","Sample Grid #87","19.00000","Hours","Freshwater Drum","235","S-Q","117","1"
"90631","ELDR","2021-10-26","GILL NET-CORE PANEL","Sample Grid #217","19.00000","Hours","Freshwater Drum","340","Q-P","369","1"
"90631","ELDR","2021-10-26","GILL NET-CORE PANEL","Sample Grid #217","19.00000","Hours","Freshwater Drum","181","SS","56","1"
"90630","ELDR","2021-10-26","GILL NET-CORE PANEL","Sample Grid #119","19.00000","Hours","Freshwater Drum","375","Q-P","645","1"
"90614","CHNR","2021-11-02","GILL NET-CORE PANEL","Sample Grid #273","23.00000","Hours","Freshwater Drum","240","S-Q","144","1"
"90614","CHNR","2021-11-02","GILL NET-CORE PANEL","Sample Grid #273","23.00000","Hours","Freshwater Drum","134","SS","","1"
"90613","CHNR","2021-11-02","GILL NET-CORE PANEL","Sample Grid #236","22.00000","Hours","Freshwater Drum","271","S-Q","204","1"
"90613","CHNR","2021-11-02","GILL NET-CORE PANEL","Sample Grid #236","22.00000","Hours","Freshwater Drum","129","SS","","1"
"90606","CHNR","2021-11-02","GILL NET-CORE PANEL","Sample Grid #74","19.00000","Hours","Freshwater Drum","230","S-Q","117","1"
"90606","CHNR","2021-11-02","GILL NET-CORE PANEL","Sample Grid #74","19.00000","Hours","Freshwater Drum","249","S-Q","151","1"
"90606","CHNR","2021-11-02","GILL NET-CORE PANEL","Sample Grid #74","19.00000","Hours","Freshwater Drum","260","S-Q","176","1"
"90606","CHNR","2021-11-02","GILL NET-CORE PANEL","Sample Grid #74","19.00000","Hours","Freshwater Drum","257","S-Q","159","1"
"90606","CHNR","2021-11-02","GILL NET-CORE PANEL","Sample Grid #74","19.00000","Hours","Freshwater Drum","242","S-Q","138","1"
"90606","CHNR","2021-11-02","GILL NET-CORE PANEL","Sample Grid #74","19.00000","Hours","Freshwater Drum","279","S-Q","205","1"
"90606","CHNR","2021-11-02","GILL NET-CORE PANEL","Sample Grid #74","19.00000","Hours","Freshwater Drum","255","S-Q","173","1"
"90606","CHNR","2021-11-02","GILL NET-CORE PANEL","Sample Grid #74","19.00000","Hours","Freshwater Drum","142","SS","28","1"
"90577","WEBR","2021-10-06","GILL NET-CORE PANEL","Sample Grid #130","19.50000","Hours","Freshwater Drum","218","S-Q","100","1"
"90577","WEBR","2021-10-06","GILL NET-CORE PANEL","Sample Grid #130","19.50000","Hours","Freshwater Drum","267","S-Q","210","1"
"90574","WEBR","2021-10-06","GILL NET-CORE PANEL","Sample Grid #104","18.00000","Hours","Freshwater Drum","196","SS","69","1"
"90572","PERR","2021-11-03","GILL NET-CORE PANEL","Sample Grid #242","20.00000","Hours","Freshwater Drum","200","S-Q","","1"
"90569","PERR","2021-11-03","GILL NET-CORE PANEL","Sample Grid #197","21.00000","Hours","Freshwater Drum","350","Q-P","485","1"
"90559","TORR","2021-11-16","GILL NET-CORE PANEL","Sample Grid #103","16.00000","Hours","Freshwater Drum","222","S-Q","138","1"
"90552","TORR","2021-11-05","GILL NET-CORE PANEL","Sample Grid #79","16.00000","Hours","Freshwater Drum","272","S-Q","233","1"
"90552","TORR","2021-11-05","GILL NET-CORE PANEL","Sample Grid #79","16.00000","Hours","Freshwater Drum","192","SS","69","1"
"90549","TORR","2021-11-05","GILL NET-CORE PANEL","Sample Grid #81","16.00000","Hours","Freshwater Drum","600","M-T","2315","1"
"90548","PERR","2021-11-02","GILL NET-CORE PANEL","Sample Grid #33","23.00000","Hours","Freshwater Drum","135","SS","20","1"
"90547","PERR","2021-11-02","GILL NET-CORE PANEL","Sample Grid #27","22.00000","Hours","Freshwater Drum","208","S-Q","100","1"
"90547","PERR","2021-11-02","GILL NET-CORE PANEL","Sample Grid #27","22.00000","Hours","Freshwater Drum","377","Q-P","605","1"
"90547","PERR","2021-11-02","GILL NET-CORE PANEL","Sample Grid #27","22.00000","Hours","Freshwater Drum","170","SS","","1"
"90545","PERR","2021-11-02","GILL NET-CORE PANEL","Sample Grid #32","22.00000","Hours","Freshwater Drum","336","Q-P","435","1"
"90545","PERR","2021-11-02","GILL NET-CORE PANEL","Sample Grid #32","22.00000","Hours","Freshwater Drum","365","Q-P","570","1"
"90545","PERR","2021-11-02","GILL NET-CORE PANEL","Sample Grid #32","22.00000","Hours","Freshwater Drum","204","S-Q","85","1"
"90535","FLRR","2021-11-04","GILL NET-CORE PANEL","Sample Grid #95","16.00000","Hours","Freshwater Drum","162","SS","41","1"
"90534","FLRR","2021-11-04","GILL NET-CORE PANEL","Sample Grid #88","16.00000","Hours","Freshwater Drum","233","S-Q","132","1"
"90533","FLRR","2021-11-04","GILL NET-CORE PANEL","Sample Grid #80","16.00000","Hours","Freshwater Drum","216","S-Q","107","1"
"90533","FLRR","2021-11-04","GILL NET-CORE PANEL","Sample Grid #80","16.00000","Hours","Freshwater Drum","222","S-Q","100","1"
"90533","FLRR","2021-11-04","GILL NET-CORE PANEL","Sample Grid #80","16.00000","Hours","Freshwater Drum","131","SS","24","1"
"90526","FLRR","2021-11-03","GILL NET-CORE PANEL","Sample Grid #54","16.00000","Hours","Freshwater Drum","404","P-M","727","1"
"90503","KANR","2021-11-10","GILL NET-CORE PANEL","Sample Grid #183","20.00000","Hours","Freshwater Drum","261","S-Q","189","1"
"90502","KANR","2021-11-10","GILL NET-CORE PANEL","Sample Grid #191","19.00000","Hours","Freshwater Drum","293","S-Q","251","1"
"90499","KANR","2021-11-10","GILL NET-CORE PANEL","Sample Grid #209","18.00000","Hours","Freshwater Drum","134","SS","31","1"
"90493","WEBR","2021-10-06","GILL NET-CORE PANEL","Sample Grid #102","17.75000","Hours","Freshwater Drum","334","Q-P","426","1"
"90491","FLRR","2021-10-26","GILL NET-CORE PANEL","Sample Grid #90","16.00000","Hours","Freshwater Drum","200","S-Q","94","1"
"90474","PERR","2021-10-27","GILL NET-CORE PANEL","Sample Grid #420","18.00000","Hours","Freshwater Drum","256","S-Q","165","1"
"90474","PERR","2021-10-27","GILL NET-CORE PANEL","Sample Grid #420","18.00000","Hours","Freshwater Drum","201","S-Q","90","1"
"90472","KANR","2021-11-09","GILL NET-CORE PANEL","Sample Grid #124","18.00000","Hours","Freshwater Drum","260","S-Q","181","1"
"90472","KANR","2021-11-09","GILL NET-CORE PANEL","Sample Grid #124","18.00000","Hours","Freshwater Drum","199","SS","72","1"
"90472","KANR","2021-11-09","GILL NET-CORE PANEL","Sample Grid #124","18.00000","Hours","Freshwater Drum","167","SS","44","1"
"90472","KANR","2021-11-09","GILL NET-CORE PANEL","Sample Grid #124","18.00000","Hours","Freshwater Drum","321","Q-P","382","1"
"90466","FLRR","2021-10-05","GILL NET-CORE PANEL","Sample Grid #61","16.00000","Hours","Freshwater Drum","186","SS","64","1"
"90466","FLRR","2021-10-05","GILL NET-CORE PANEL","Sample Grid #61","16.00000","Hours","Freshwater Drum","458","P-M","945","1"
"90466","FLRR","2021-10-05","GILL NET-CORE PANEL","Sample Grid #61","16.00000","Hours","Freshwater Drum","380","P-M","646","1"
"90456","BGHR","2021-11-02","GILL NET-CORE PANEL","Sample Grid #18","18.00000","Hours","Freshwater Drum","280","S-Q","254","1"
"90440","BGHR","2021-11-01","GILL NET-CORE PANEL","Sample Grid #76","18.00000","Hours","Freshwater Drum","224","S-Q","120","1"
"90440","BGHR","2021-11-01","GILL NET-CORE PANEL","Sample Grid #76","18.00000","Hours","Freshwater Drum","278","S-Q","246","1"
"90439","BGHR","2021-11-01","GILL NET-CORE PANEL","Sample Grid #73","18.00000","Hours","Freshwater Drum","233","S-Q","136","1"
"90437","BGHR","2021-11-01","GILL NET-CORE PANEL","Sample Grid #57","18.00000","Hours","Freshwater Drum","270","S-Q","238","1"
"90429","WILR","2021-11-04","GILL NET-CORE PANEL","Sample Grid #72","17.00000","Hours","Freshwater Drum","250","S-Q","163","1"
"90428","WILR","2021-11-04","GILL NET-CORE PANEL","Sample Grid #102","17.00000","Hours","Freshwater Drum","348","Q-P","463","1"
